2025-01-09 14:35:26, CPU: 12%, Memory: 9.22%, Download: 61.69 KiB/s, Upload:  5.08 KiB/s
2025-01-16 16:14:20, CPU: 12.2%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:23, CPU: 11.9%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:25, CPU: 12.2%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:27, CPU: 12.3%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:29, CPU: 12.3%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:31, CPU: 11.8%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:34, CPU: 12.4%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:36, CPU: 12.4%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:38, CPU: 12.3%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:40, CPU: 12.3%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:43, CPU: 12.2%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:45, CPU: 12%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:47, CPU: 12.2%, Memory: 10.26%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:49, CPU: 14.1%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:51, CPU: 12.3%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:54, CPU: 12.3%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:56, CPU: 12.3%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:31:53, CPU: 16%, Memory: 10.52%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:31:56, CPU: 12.4%, Memory: 10.53%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:31:58, CPU: 12.4%, Memory: 10.53%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:00, CPU: 12.3%, Memory: 10.53%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:02, CPU: 14.4%, Memory: 10.53%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:05, CPU: 13.2%, Memory: 10.53%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:07, CPU: 12.3%, Memory: 10.53%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:09, CPU: 13.4%, Memory: 10.58%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:11, CPU: 13.4%, Memory: 10.56%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:13, CPU: 11.4%, Memory: 10.57%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:16, CPU: 12.3%, Memory: 10.57%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:18, CPU: 12.4%, Memory: 10.57%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:20, CPU: 11.4%, Memory: 10.57%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:22, CPU: 11.4%, Memory: 10.57%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:24, CPU: 12%, Memory: 10.56%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:27, CPU: 12%, Memory: 10.56%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:29, CPU: 11.8%, Memory: 10.56%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:31, CPU: 13.8%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:33, CPU: 12.4%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:36, CPU: 12%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:38, CPU: 12.2%, Memory: 10.54%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:40, CPU: 12.3%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:42, CPU: 11.9%, Memory: 10.54%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:44, CPU: 12.3%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:47, CPU: 12.4%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:49, CPU: 12.3%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:51, CPU: 12.4%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:53, CPU: 12.3%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:56, CPU: 11.2%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:32:58, CPU: 12%, Memory: 10.56%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:33:00, CPU: 12.2%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 18:33:02, CPU: 12.3%, Memory: 10.55%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
